0.6100,3.7600,1
2.7500,3.2300,1
2.9200,3.1400,1
1.8200,3.6100,1
1.8000,5.2800,1
1.8300,5.2500,1
2.6000,4.2400,1
2.0900,4.2100,1
1.2500,3.2400,1
1.2000,2.9800,1
1.5100,3.3300,1
1.4000,5.1100,1
1.5600,4.9500,1
2.1500,4.8400,1
1.3900,3.6200,1
2.8600,4.9900,1
1.7000,4.0400,1
2.3800,2.8800,1
1.5900,5.0700,1
2.6700,3.3200,1
0.7180,3.4100,1
0.4680,3.4100,1
1.2600,5.1600,1
4.2400,2.7700,2
3.6700,4.3100,1
2.7200,4.1700,1
1.8100,4.6900,1
1.5300,4.6000,1
1.7500,5.0200,1
2.2500,5.0500,1
3.5000,3.6200,1
2.6600,5.0800,1
3.4300,4.1100,1
0.8330,5.2300,1
-0.2120,5.3600,1
1.6400,4.9100,1
0.7550,3.6600,1
2.2400,4.2500,1
0.6300,4.0700,1
2.4400,4.2200,1
1.5000,3.3500,1
2.3100,4.0800,1
1.8300,3.9900,1
3.3900,5.3500,1
0.8960,4.2200,1
1.6800,2.2600,1
0.5460,3.1000,1
0.3590,4.2600,1
3.3100,2.8300,1
1.6600,3.6700,1
2.0700,5.1100,1
1.3600,4.6100,1
2.3100,3.6100,1
1.8100,4.7400,1
2.1500,3.4100,1
1.0800,3.0700,1
1.6600,4.7100,1
3.4900,4.9900,1
2.7500,2.1000,1
2.2000,4.7400,1
1.1300,2.4600,1
2.2400,4.3800,1
-0.1260,5.6600,1
2.9900,4.2300,1
1.7200,4.8600,1
2.0400,3.4000,1
4.1300,3.0500,1
2.5700,2.4300,1
3.1400,4.8800,1
2.9800,3.5300,1
1.6500,4.9600,1
1.9400,4.1000,1
2.0400,2.8600,1
1.6300,4.8400,1
1.7700,4.4600,1
0.1260,4.0800,1
2.0600,3.1600,1
1.8500,2.6700,1
0.3850,5.0200,1
1.4300,4.7700,1
0.6620,6.1400,1
2.1800,5.1000,1
0.9470,3.8600,1
2.4100,2.4300,1
1.8400,3.5700,1
2.5000,5.9900,1
2.7300,4.4400,1
0.8970,4.4400,1
1.8300,5.6800,1
0.3010,3.1300,1
1.1200,3.5200,1
2.0100,2.8400,1
1.4200,5.2000,1
2.8500,5.8100,1
0.7750,5.1200,1
1.3300,2.6600,1
3.5300,4.7500,1
2.7800,3.5300,1
0.0908,4.2000,1
1.9300,3.4300,1
2.1000,4.8600,1
0.8210,3.0200,1
3.9100,4.3900,1
1.3100,5.6500,1
2.7700,2.9700,1
3.0200,5.3600,1
2.5200,2.6800,1
2.1800,2.7100,1
2.5700,4.8200,1
0.9850,3.6000,1
0.9770,5.7000,1
1.6800,4.5600,1
-0.2880,4.9700,1
1.6000,3.0600,1
4.4400,3.3400,1
2.3400,6.0900,1
2.2900,4.6200,1
1.8000,2.5000,1
1.9000,2.5000,1
1.2800,2.3000,1
3.3700,3.7400,1
1.6300,6.6500,1
2.3200,2.1600,1
1.1000,4.1400,1
1.1200,5.9200,1
1.3900,4.9800,1
1.3400,6.1900,1
0.5080,2.2500,1
1.9400,3.9200,1
0.5400,3.3300,1
2.0800,3.4700,1
2.5000,5.2900,1
2.7000,3.4100,1
2.9000,4.2900,1
3.7500,5.2000,1
1.1600,4.5300,1
1.1500,5.4100,1
3.1500,3.3800,1
3.4200,4.9200,1
1.5500,2.4900,1
1.3200,4.5200,1
1.4900,4.4200,1
0.5450,3.6000,1
2.2500,4.6100,1
2.6600,1.6300,1
4.3200,5.8300,1
1.6300,3.0600,1
1.8400,4.4300,1
2.3700,4.6100,1
2.2800,2.3700,1
4.2700,3.5300,1
2.3400,2.3500,1
4.0200,4.7800,1
2.8800,4.0800,1
3.4800,5.2100,1
1.0200,3.0100,1
3.5400,4.8900,1
1.1200,4.2500,1
3.3300,3.8500,1
0.8330,5.1200,1
